Departmets|Groups|Job Type|Marital Status|Age|Business Unit|Hire Date|Emp.Type|Sick Days|Balance Days|Years in current role|Years since last promition|Education|Job Involvement|Job Satisfaction|Performance Rating|Relationship Satisfaction|WorkLife Balance|Last Name|Gender|Salary|Job Classification
Sales and Marketing|Group A|Full Time|Single|51|New York City|11/21/2013|Active|2|15|3 Years|1 Year|College|Low|Low|Excellent|Very High|Bad|Barron|Male|115919|Other
Legal Department|Group A|Part Time|Divorced|48|Houston|11/13/2013|Active|5|9|1 Year|2 Years|Bachelor|Medium|High|Low|Low|Bad|Clarke|Male|100473|Blue Collar
Finances|Group B|Part Time|Single|30|New York City|05/04/2018|Non Active|7|6|2 Years|1 Year|College|High|Very High|Outstanding|Very High|Bad|Watson|Female|73302|Other
Research and Development|Group A|Part Time|Single|40|New York City|02/23/2014|Non Active|1|6|3 Years|3 Years|Doctor|High|Low|Excellent|Medium|Bad|Daniels|Female|87768|Other
Media Relations|Group C|Part Time|Divorced|33|Seattle|02/10/2015|Non Active|12|20|1 Year|2 Years|Masters|High|Low|Excellent|Low|Bad|Maldonado|Male|108402|White Collar
Asset Management|Group C|Part Time|Married|26|Los Angeles|07/12/2018|Active|3|11|3 Years|3 Years|College|High|Medium|Excellent|High|Good|Baxter|Male|72385|Blue Collar
Accounting|Group B|Full Time|Divorced|54|New York City|11/14/2017|Active|12|20|1 Year|1 Year|Doctor|Low|Medium|Excellent|Medium|Bad|Craft|Female|112915|Other
Customer Service|Group C|Part Time|Married|50|Seattle|12/08/2018|Active|12|16|3 Years|3 Years|Bachelor|Medium|Medium|Low|High|Bad|Acosta|Male|113760|Blue Collar
Finances|Group A|Full Time|Divorced|55|Seattle|07/26/2018|Active|10|8|1 Year|3 Years|Bachelor|Low|High|Outstanding|High|Best|Chase|Male|72213|Other
Tech Support|Group B|Full Time|Single|40|Los Angeles|06/21/2013|Active|11|11|1 Year|3 Years|Doctor|Very High|Medium|Excellent|Very High|Better|Irwin|Female|75925|Blue Collar
Finances|Group B|Full Time|Married|28|Los Angeles|03/21/2016|Active|6|19|3 Years|2 Years|College|High|Medium|Low|Medium|Bad|Cote|Female|108859|White Collar
Legal Department|Group D|Full Time|Divorced|44|Seattle|05/08/2015|Non Active|4|11|3 Years|3 Years|Bachelor|High|Low|Excellent|Low|Bad|Acosta|Female|119832|White Collar
Asset Management|Group C|Full Time|Married|56|Seattle|02/07/2013|Non Active|3|8|1 Year|2 Years|Doctor|Low|High|Excellent|Very High|Best|Hines|Male|86360|Blue Collar
Advertising|Group A|Full Time|Single|26|Houston|03/06/2014|Active|11|14|1 Year|1 Year|Masters|Low|Very High|Low|High|Better|Battle|Female|86191|White Collar
Advertising|Group B|Full Time|Single|31|Houston|02/23/2016|Active|11|7|1 Year|1 Year|Masters|Very High|Low|Low|Low|Bad|Glover|Female|104199|Other
Tech Support|Group C|Full Time|Single|39|Los Angeles|07/21/2014|Non Active|8|18|2 Years|3 Years|Doctor|Medium|Medium|Excellent|Very High|Good|Compton|Female|95587|Other
Legal Department|Group C|Part Time|Single|52|Los Angeles|03/21/2015|Non Active|4|13|3 Years|3 Years|Doctor|Very High|Medium|Outstanding|High|Best|Harrison|Male|117717|White Collar
Customer Relations|Group A|Part Time|Married|48|Los Angeles|01/23/2017|Active|10|19|1 Year|3 Years|Bachelor|Very High|Medium|Outstanding|Medium|Bad|Ayers|Male|87392|Blue Collar
Sales and Marketing|Group D|Part Time|Single|35|Los Angeles|01/08/2014|Active|6|12|2 Years|1 Year|Bachelor|Medium|Very High|Low|High|Bad|Watson|Female|88757|White Collar
Finances|Group B|Part Time|Single|55|Los Angeles|07/27/2017|Non Active|4|13|1 Year|1 Year|College|High|High|Outstanding|Medium|Good|Sweeney|Male|84371|White Collar
Quality Assurance|Group C|Full Time|Single|49|Los Angeles|09/15/2015|Active|9|18|2 Years|3 Years|College|High|High|Low|Medium|Bad|Schultz|Male|104943|White Collar
Research and Development|Group A|Part Time|Married|30|New York City|10/03/2018|Active|6|11|3 Years|1 Year|Bachelor|High|Medium|Low|Very High|Better|Gonzalez|Female|98082|White Collar
Finances|Group A|Full Time|Married|61|Los Angeles|08/21/2018|Non Active|8|6|2 Years|3 Years|Masters|Low|Low|Outstanding|Low|Good|Tyler|Female|109467|Blue Collar
Human Resources|Group B|Part Time|Divorced|57|New York City|12/20/2015|Active|5|12|2 Years|3 Years|Doctor|Very High|Very High|Excellent|Medium|Good|Velez|Female|97014|White Collar
Accounting|Group B|Part Time|Married|28|New York City|10/09/2016|Active|8|7|2 Years|2 Years|Masters|Medium|Very High|Low|Very High|Good|Berger|Male|114000|Other
Accounting|Group D|Part Time|Divorced|42|Seattle|03/25/2013|Active|3|13|1 Year|2 Years|Masters|High|Medium|Excellent|Very High|Good|Herrera|Male|119807|Blue Collar
Sales and Marketing|Group B|Part Time|Single|46|Houston|10/11/2017|Non Active|9|20|2 Years|3 Years|Doctor|Low|Low|Outstanding|High|Good|Frank|Male|118794|Blue Collar
Finances|Group D|Part Time|Married|64|Houston|11/15/2014|Active|10|15|1 Year|1 Year|Doctor|Very High|High|Good|Very High|Best|Monroe|Male|118594|White Collar
Accounting|Group D|Part Time|Married|58|Houston|07/14/2018|Active|6|14|3 Years|1 Year|Bachelor|High|High|Good|Medium|Better|Potter|Female|83002|Other
Payroll|Group A|Part Time|Married|26|Los Angeles|08/01/2016|Non Active|10|8|1 Year|1 Year|Doctor|High|Medium|Low|Medium|Bad|Rojas|Male|101579|Other
Media Relations|Group A|Part Time|Married|34|New York City|10/05/2017|Non Active|8|20|2 Years|3 Years|Masters|Very High|High|Good|Very High|Better|Page|Male|92618|White Collar
Payroll|Group C|Part Time|Single|52|Seattle|05/09/2013|Active|12|11|2 Years|1 Year|College|Medium|Low|Outstanding|Low|Good|Ratliff|Female|116879|White Collar
Asset Management|Group B|Full Time|Divorced|52|Seattle|04/23/2013|Non Active|3|10|2 Years|3 Years|Masters|Very High|High|Outstanding|High|Good|Haynes|Male|97275|Blue Collar
Finances|Group A|Full Time|Divorced|63|Los Angeles|04/05/2015|Non Active|11|20|3 Years|1 Year|Bachelor|Low|Low|Low|Very High|Better|Leach|Male|100980|White Collar
Asset Management|Group B|Full Time|Married|37|Houston|02/28/2015|Active|5|8|3 Years|3 Years|Doctor|Medium|Medium|Excellent|Medium|Good|Diaz|Female|95536|Other
Tech Support|Group C|Full Time|Single|45|Houston|08/10/2018|Active|9|20|2 Years|2 Years|Bachelor|Medium|Medium|Excellent|High|Good|Christensen|Male|103929|Other
Legal Department|Group A|Part Time|Divorced|64|New York City|02/23/2015|Active|8|16|3 Years|3 Years|College|Low|Medium|Excellent|Medium|Bad|Collins|Male|87715|White Collar
Tech Support|Group C|Part Time|Divorced|31|Los Angeles|09/05/2014|Non Active|10|11|2 Years|3 Years|College|Very High|Medium|Good|Low|Good|Holcomb|Female|73460|White Collar
Legal Department|Group C|Full Time|Single|34|New York City|12/08/2018|Non Active|11|18|3 Years|1 Year|College|Very High|Medium|Low|Low|Good|Moss|Male|118176|White Collar
Payroll|Group B|Full Time|Married|54|New York City|08/14/2018|Non Active|4|16|2 Years|1 Year|Doctor|Low|Very High|Excellent|Low|Better|Sheppard|Male|90661|White Collar
Asset Management|Group B|Full Time|Divorced|61|Los Angeles|11/09/2018|Non Active|1|14|3 Years|1 Year|Doctor|Medium|Very High|Low|Low|Good|Bentley|Male|83220|Other
Human Resources|Group B|Part Time|Single|34|Seattle|09/04/2013|Non Active|5|11|3 Years|1 Year|College|Low|Very High|Low|High|Best|Goff|Female|78376|White Collar
Media Relations|Group A|Full Time|Married|36|Seattle|08/09/2017|Active|10|20|1 Year|1 Year|Doctor|Very High|Low|Low|Low|Good|Goff|Male|111017|Blue Collar
Customer Service|Group C|Part Time|Married|27|New York City|04/03/2018|Active|6|7|1 Year|2 Years|Bachelor|Medium|Medium|Excellent|Low|Best|Stephenson|Male|106829|White Collar
Media Relations|Group A|Part Time|Divorced|45|Seattle|01/01/2013|Active|8|15|3 Years|1 Year|Bachelor|Medium|Medium|Low|Low|Best|Huber|Male|111857|Blue Collar
Accounting|Group B|Part Time|Divorced|41|Seattle|02/14/2018|Active|1|17|2 Years|2 Years|Masters|High|Low|Outstanding|Medium|Better|Cross|Female|113931|Other
Quality Assurance|Group C|Part Time|Divorced|36|New York City|06/27/2015|Active|8|13|3 Years|3 Years|Bachelor|High|Low|Low|High|Best|Merritt|Male|86318|White Collar
Human Resources|Group C|Part Time|Divorced|32|New York City|11/14/2016|Non Active|4|17|1 Year|3 Years|Masters|Low|Very High|Outstanding|Medium|Bad|Deleon|Male|92926|White Collar
Asset Management|Group A|Part Time|Married|46|Los Angeles|10/11/2016|Active|10|15|1 Year|1 Year|Bachelor|Medium|Very High|Good|Low|Best|Mayo|Female|86704|Other
Asset Management|Group A|Part Time|Married|62|Seattle|03/09/2014|Non Active|8|11|1 Year|1 Year|Doctor|Medium|Low|Low|High|Good|Rios|Female|104633|White Collar
Research and Development|Group D|Full Time|Married|46|Seattle|07/12/2016|Active|12|5|3 Years|3 Years|College|Medium|Low|Good|High|Better|Silva|Male|73082|White Collar
Research and Development|Group C|Part Time|Single|42|New York City|08/24/2016|Active|6|17|1 Year|2 Years|Masters|Low|Very High|Outstanding|High|Best|Griffin|Male|115760|Blue Collar
Finances|Group A|Part Time|Single|41|Houston|05/12/2017|Active|12|20|3 Years|1 Year|Bachelor|Medium|Low|Good|Low|Better|Marquez|Female|100409|White Collar
Customer Relations|Group D|Full Time|Single|58|Houston|11/01/2016|Active|9|12|3 Years|3 Years|Bachelor|Medium|Medium|Low|Low|Good|Norton|Male|97730|Other
Accounting|Group B|Full Time|Divorced|54|Houston|01/30/2017|Non Active|3|16|2 Years|3 Years|Bachelor|Very High|Medium|Good|Low|Best|Webster|Male|101244|Blue Collar
Human Resources|Group C|Full Time|Divorced|32|Los Angeles|09/08/2017|Active|2|5|1 Year|2 Years|Masters|Very High|Very High|Outstanding|Low|Best|Warner|Female|80274|White Collar
Quality Assurance|Group A|Full Time|Single|24|Seattle|01/28/2017|Active|11|5|3 Years|1 Year|College|High|Medium|Outstanding|Low|Better|Rich|Female|78595|Blue Collar
Asset Management|Group B|Full Time|Divorced|34|Los Angeles|12/19/2017|Non Active|5|18|1 Year|1 Year|College|High|Very High|Excellent|Very High|Best|Huffman|Male|105965|Other
Finances|Group C|Part Time|Married|33|Houston|11/17/2018|Non Active|8|18|1 Year|2 Years|Masters|Low|Low|Good|Low|Bad|Mcdowell|Male|90675|White Collar
Asset Management|Group D|Part Time|Divorced|46|New York City|02/24/2014|Active|7|14|2 Years|3 Years|College|Low|Medium|Excellent|Low|Bad|Joseph|Male|97068|Other
Sales and Marketing|Group C|Full Time|Married|38|Los Angeles|06/26/2013|Non Active|1|11|1 Year|2 Years|Bachelor|Medium|Medium|Low|Low|Best|Neal|Male|79697|Other
Research and Development|Group A|Part Time|Married|50|Houston|10/13/2014|Active|11|15|2 Years|1 Year|College|Very High|High|Excellent|Medium|Good|Hayes|Female|78616|Other
Human Resources|Group C|Part Time|Married|37|Los Angeles|09/18/2013|Non Active|10|9|1 Year|2 Years|Doctor|Very High|Very High|Excellent|Very High|Good|Hoffman|Male|117212|Blue Collar
Human Resources|Group D|Full Time|Divorced|47|New York City|01/06/2013|Non Active|1|12|1 Year|3 Years|Doctor|Very High|Medium|Excellent|Low|Good|Sanders|Female|76264|Other
Human Resources|Group A|Full Time|Single|47|Houston|02/26/2015|Active|12|7|2 Years|3 Years|Bachelor|Medium|Very High|Low|Medium|Good|Weber|Male|96539|Blue Collar
Asset Management|Group D|Part Time|Divorced|31|New York City|07/23/2018|Non Active|3|10|2 Years|2 Years|Bachelor|Very High|Low|Good|Low|Good|Henry|Female|74127|Other
Customer Relations|Group B|Full Time|Married|25|New York City|08/07/2018|Non Active|8|18|2 Years|3 Years|Masters|Medium|Medium|Outstanding|Low|Best|Wiley|Male|87569|Other
Advertising|Group B|Full Time|Divorced|29|Houston|08/14/2015|Active|7|19|2 Years|1 Year|College|Very High|Medium|Low|Low|Best|Yang|Male|89553|Other
Legal Department|Group D|Full Time|Divorced|25|Los Angeles|06/22/2013|Active|6|14|3 Years|3 Years|Bachelor|Medium|Low|Excellent|Medium|Good|Randall|Male|95548|Blue Collar
Tech Support|Group D|Part Time|Single|55|Los Angeles|04/08/2013|Non Active|3|9|1 Year|3 Years|Masters|Very High|Medium|Good|High|Best|Macdonald|Male|95177|Blue Collar
Advertising|Group A|Part Time|Single|34|Seattle|01/21/2017|Active|8|10|2 Years|3 Years|Bachelor|Medium|Low|Outstanding|Low|Best|Donaldson|Male|85922|Blue Collar
Sales and Marketing|Group D|Part Time|Single|26|Los Angeles|03/06/2016|Non Active|9|20|3 Years|1 Year|College|Medium|Low|Outstanding|Low|Best|Hodge|Female|101007|White Collar
Finances|Group B|Part Time|Married|57|Los Angeles|12/30/2017|Non Active|10|8|3 Years|1 Year|Masters|Very High|Low|Outstanding|High|Better|Bond|Female|91348|Blue Collar
Asset Management|Group C|Part Time|Single|25|Los Angeles|02/11/2018|Non Active|3|19|3 Years|3 Years|Bachelor|Low|Low|Excellent|Medium|Best|Burns|Male|83984|Blue Collar
Media Relations|Group B|Full Time|Married|47|Houston|09/14/2017|Active|11|17|1 Year|2 Years|College|Low|Medium|Outstanding|Medium|Best|Perkins|Female|106949|Blue Collar
Finances|Group C|Full Time|Divorced|65|Los Angeles|03/18/2013|Active|12|5|2 Years|2 Years|Doctor|High|Medium|Outstanding|Very High|Good|Collier|Female|87020|Other
Advertising|Group D|Part Time|Single|27|Houston|07/09/2015|Non Active|12|12|2 Years|3 Years|Bachelor|Medium|High|Outstanding|High|Better|Patrick|Female|99595|Blue Collar
Customer Service|Group A|Full Time|Married|53|Los Angeles|01/30/2015|Non Active|2|11|1 Year|3 Years|Bachelor|Low|Very High|Outstanding|Medium|Good|Marks|Female|104326|Blue Collar
Advertising|Group A|Part Time|Divorced|62|Los Angeles|01/25/2015|Non Active|9|7|2 Years|2 Years|Bachelor|Very High|Low|Good|Medium|Bad|Knox|Male|83255|Blue Collar
Quality Assurance|Group D|Full Time|Married|61|Seattle|12/19/2015|Non Active|9|19|1 Year|2 Years|College|Medium|Low|Low|Low|Best|Harrington|Female|88184|Blue Collar
Asset Management|Group A|Full Time|Married|62|Los Angeles|11/04/2014|Non Active|4|7|2 Years|2 Years|Masters|Very High|Low|Good|Medium|Bad|Hickman|Male|75219|Blue Collar
Human Resources|Group B|Part Time|Divorced|47|Houston|01/14/2013|Active|10|13|3 Years|1 Year|Bachelor|Very High|Very High|Outstanding|High|Good|Patrick|Female|110367|Other
Payroll|Group B|Part Time|Married|28|New York City|06/17/2016|Non Active|11|18|3 Years|1 Year|Bachelor|Very High|Medium|Outstanding|Very High|Best|Curry|Male|75997|Other
Human Resources|Group D|Full Time|Married|55|Los Angeles|10/15/2014|Non Active|8|9|1 Year|1 Year|Doctor|Low|Medium|Outstanding|Medium|Good|Bird|Female|102405|White Collar
Legal Department|Group B|Part Time|Divorced|30|Houston|08/06/2018|Non Active|10|17|2 Years|3 Years|College|Low|High|Good|Medium|Good|Newman|Male|107669|Other
Customer Service|Group D|Full Time|Single|47|Los Angeles|04/15/2013|Active|8|7|1 Year|3 Years|College|Very High|Low|Low|Medium|Good|Perez|Female|107357|Other
Advertising|Group A|Part Time|Divorced|41|Houston|08/08/2015|Active|2|20|1 Year|2 Years|Doctor|High|Medium|Good|Very High|Bad|Kent|Male|70955|Other
Tech Support|Group B|Full Time|Married|57|Houston|08/18/2016|Active|4|10|1 Year|2 Years|Masters|Medium|High|Low|Very High|Bad|Vinson|Female|99595|White Collar
Asset Management|Group D|Full Time|Married|34|Houston|11/09/2017|Non Active|11|15|1 Year|2 Years|Masters|High|Very High|Low|Low|Good|Winters|Female|112211|White Collar
Research and Development|Group B|Full Time|Divorced|38|New York City|04/11/2018|Non Active|12|13|3 Years|2 Years|Doctor|Medium|High|Outstanding|High|Good|Page|Female|86069|Blue Collar
Finances|Group C|Part Time|Married|28|Seattle|09/29/2015|Non Active|2|8|3 Years|2 Years|Doctor|Very High|Low|Outstanding|Low|Bad|Pollard|Female|94293|White Collar
Asset Management|Group A|Part Time|Divorced|63|New York City|10/11/2014|Active|6|17|1 Year|3 Years|College|Very High|Low|Low|Medium|Bad|Hanson|Female|88787|Blue Collar
Legal Department|Group C|Full Time|Married|25|Seattle|04/21/2018|Non Active|1|11|1 Year|3 Years|Bachelor|High|High|Excellent|Very High|Better|Gilliam|Female|86091|White Collar
Quality Assurance|Group C|Part Time|Married|42|Seattle|10/31/2014|Active|8|8|2 Years|1 Year|College|Very High|Very High|Excellent|Low|Bad|Buchanan|Female|87733|White Collar
Sales and Marketing|Group D|Part Time|Single|65|New York City|09/21/2016|Non Active|10|8|2 Years|1 Year|Masters|High|Medium|Good|Low|Better|Russell|Female|108335|Other
Legal Department|Group C|Part Time|Married|54|New York City|09/15/2015|Non Active|8|11|2 Years|2 Years|Doctor|Medium|Low|Good|Low|Better|Mclean|Male|92113|Blue Collar
Tech Support|Group A|Full Time|Divorced|29|Seattle|09/14/2015|Non Active|5|10|1 Year|2 Years|College|High|Low|Outstanding|Medium|Bad|Parker|Male|95811|Other
Accounting|Group B|Part Time|Single|25|Seattle|01/09/2015|Active|10|9|2 Years|3 Years|Masters|Medium|High|Low|Low|Better|Cooley|Female|102651|Blue Collar
Research and Development|Group C|Part Time|Divorced|62|Houston|07/25/2017|Non Active|6|17|3 Years|1 Year|College|Very High|High|Excellent|Medium|Bad|Strickland|Female|71663|Other
Asset Management|Group B|Full Time|Married|48|Seattle|03/22/2013|Active|8|16|2 Years|3 Years|Masters|Low|Very High|Good|Very High|Best|Mckay|Male|83072|Blue Collar
Customer Relations|Group B|Part Time|Married|59|Los Angeles|09/22/2014|Active|4|10|2 Years|2 Years|Masters|Low|Medium|Good|Low|Bad|Gordon|Female|102692|Blue Collar
Quality Assurance|Group A|Full Time|Married|48|New York City|09/20/2016|Non Active|8|15|1 Year|1 Year|College|Low|Low|Low|Low|Best|Battle|Female|94495|White Collar
Public Relations|Group D|Part Time|Married|33|Seattle|06/14/2017|Non Active|2|7|1 Year|2 Years|Bachelor|Low|High|Low|Very High|Good|Thompson|Male|83568|White Collar
Human Resources|Group D|Part Time|Single|42|Los Angeles|10/18/2018|Non Active|5|15|3 Years|2 Years|College|Medium|Low|Good|Low|Bad|Avery|Male|93910|White Collar
Customer Relations|Group C|Full Time|Single|44|New York City|08/15/2016|Active|1|11|3 Years|3 Years|College|Very High|High|Outstanding|Low|Bad|Mcfarland|Female|90257|White Collar
Customer Service|Group C|Full Time|Married|24|Seattle|08/23/2017|Non Active|8|7|2 Years|2 Years|Masters|High|Low|Excellent|Low|Good|Wilkins|Male|75259|Other
Payroll|Group D|Part Time|Single|37|New York City|09/28/2016|Active|10|17|3 Years|3 Years|Bachelor|Medium|Low|Low|Very High|Bad|Dotson|Male|84414|Other
Research and Development|Group A|Full Time|Divorced|33|New York City|09/08/2016|Non Active|4|12|1 Year|2 Years|Doctor|Very High|Medium|Excellent|Medium|Best|Hamilton|Female|119919|Other
Advertising|Group D|Part Time|Divorced|44|Houston|03/13/2018|Non Active|9|15|1 Year|1 Year|College|High|Medium|Outstanding|Very High|Good|Reese|Male|80257|Blue Collar
Media Relations|Group D|Part Time|Married|24|New York City|07/21/2014|Active|11|14|2 Years|3 Years|Masters|High|High|Excellent|Very High|Good|Durham|Female|80193|Blue Collar
Finances|Group C|Part Time|Single|26|Houston|01/06/2015|Non Active|9|7|1 Year|2 Years|Masters|Low|Very High|Low|Very High|Better|Harrell|Female|82345|Blue Collar
Media Relations|Group C|Part Time|Divorced|27|Houston|02/29/2016|Non Active|10|6|1 Year|2 Years|Doctor|Low|Medium|Excellent|Very High|Bad|Barber|Female|106749|Other
Human Resources|Group D|Part Time|Married|33|Houston|06/30/2016|Non Active|3|6|1 Year|2 Years|Bachelor|Very High|Very High|Outstanding|Low|Best|Scott|Female|92623|Blue Collar
Payroll|Group D|Part Time|Married|40|Houston|03/07/2018|Active|5|18|1 Year|1 Year|Masters|Low|Medium|Excellent|Low|Bad|Levy|Male|87807|Other
Quality Assurance|Group D|Part Time|Married|36|Houston|06/14/2017|Non Active|6|14|3 Years|2 Years|College|Medium|High|Outstanding|Low|Good|Bruce|Female|98190|Blue Collar
Payroll|Group C|Full Time|Divorced|33|Los Angeles|11/26/2014|Non Active|3|10|2 Years|2 Years|College|Very High|Very High|Outstanding|Medium|Good|Douglas|Male|92977|White Collar
Advertising|Group B|Part Time|Single|39|Los Angeles|07/27/2014|Active|3|17|1 Year|1 Year|College|Medium|Medium|Good|Medium|Better|Armstrong|Female|108636|Blue Collar
Research and Development|Group D|Full Time|Single|46|Los Angeles|08/30/2016|Active|3|19|2 Years|2 Years|Masters|High|Low|Outstanding|High|Bad|Hardin|Female|105461|Blue Collar
Payroll|Group B|Part Time|Married|48|Houston|06/01/2013|Non Active|7|16|1 Year|2 Years|Masters|High|High|Excellent|Very High|Better|Clay|Female|86430|Blue Collar
Quality Assurance|Group C|Full Time|Married|36|New York City|09/21/2017|Active|3|13|3 Years|3 Years|College|High|Low|Excellent|Low|Good|Hamilton|Female|74740|Blue Collar
Research and Development|Group C|Full Time|Divorced|59|Houston|02/10/2014|Non Active|8|15|3 Years|2 Years|Masters|Medium|High|Excellent|Very High|Bad|Davidson|Female|107471|Blue Collar
Advertising|Group C|Part Time|Married|29|Los Angeles|04/08/2013|Active|4|15|1 Year|1 Year|Masters|High|High|Good|Very High|Good|Spence|Male|78427|Blue Collar
Finances|Group C|Part Time|Single|35|New York City|10/09/2013|Non Active|12|6|2 Years|2 Years|College|High|High|Good|Very High|Best|Cooley|Female|74450|White Collar
Customer Service|Group C|Part Time|Married|37|Houston|12/27/2017|Non Active|9|13|2 Years|3 Years|Bachelor|Low|High|Good|Medium|Bad|Walton|Male|89200|White Collar
Tech Support|Group C|Part Time|Single|39|New York City|03/02/2018|Non Active|1|20|2 Years|1 Year|College|Very High|Very High|Excellent|Low|Bad|Hewitt|Female|87957|Blue Collar
Asset Management|Group C|Full Time|Married|60|Seattle|03/22/2014|Active|2|16|2 Years|1 Year|Bachelor|High|Medium|Outstanding|High|Better|Wilson|Male|95199|Blue Collar
Legal Department|Group C|Full Time|Married|24|New York City|06/14/2014|Non Active|12|12|3 Years|3 Years|Doctor|Very High|Low|Excellent|Medium|Better|Eaton|Female|108956|White Collar
Sales and Marketing|Group A|Full Time|Divorced|27|New York City|05/21/2014|Active|8|20|1 Year|3 Years|Doctor|Medium|Very High|Outstanding|Very High|Good|Wise|Male|80228|Blue Collar
Asset Management|Group C|Full Time|Married|65|Los Angeles|06/24/2013|Active|3|17|3 Years|2 Years|College|Very High|Low|Excellent|Very High|Good|Austin|Male|116896|Other
Advertising|Group D|Part Time|Married|55|Houston|11/14/2018|Non Active|4|19|1 Year|3 Years|College|Low|Medium|Good|Low|Good|Rowland|Female|98762|White Collar
Research and Development|Group B|Part Time|Married|45|Los Angeles|01/24/2017|Active|3|5|3 Years|1 Year|Bachelor|Very High|Low|Good|Very High|Better|Luna|Male|74389|Other
Accounting|Group C|Part Time|Married|56|Los Angeles|09/21/2014|Active|1|16|3 Years|3 Years|Doctor|Medium|High|Outstanding|Medium|Good|Gray|Female|89627|White Collar
Asset Management|Group A|Part Time|Married|46|Los Angeles|09/22/2016|Active|9|18|1 Year|3 Years|Masters|Medium|High|Excellent|High|Best|Guzman|Female|118756|Other
Tech Support|Group A|Full Time|Single|43|New York City|08/04/2013|Active|5|10|1 Year|1 Year|Doctor|Very High|Low|Low|High|Bad|Owen|Female|95874|Blue Collar
Finances|Group A|Part Time|Married|39|Los Angeles|10/01/2017|Non Active|11|14|3 Years|1 Year|Masters|Low|Medium|Outstanding|High|Best|Simpson|Male|81793|White Collar
Public Relations|Group C|Part Time|Single|63|New York City|02/04/2016|Non Active|9|13|3 Years|2 Years|Doctor|Low|Medium|Excellent|Very High|Good|Sellers|Male|82594|White Collar
Legal Department|Group C|Part Time|Single|65|New York City|06/10/2017|Active|7|11|1 Year|1 Year|Bachelor|High|Low|Outstanding|Low|Good|Nieves|Female|97819|White Collar
Media Relations|Group D|Part Time|Divorced|41|Houston|03/02/2014|Active|10|13|1 Year|2 Years|College|Low|Low|Good|Medium|Better|Sheppard|Male|72277|White Collar
Quality Assurance|Group A|Part Time|Divorced|32|Houston|05/30/2018|Non Active|4|10|3 Years|3 Years|College|High|Very High|Low|Low|Best|Bender|Male|106919|Blue Collar
Media Relations|Group D|Full Time|Divorced|34|Houston|10/18/2018|Active|7|8|3 Years|1 Year|Doctor|Medium|Very High|Excellent|Medium|Good|Nieves|Male|109653|White Collar
Research and Development|Group B|Full Time|Divorced|24|New York City|10/03/2015|Active|8|9|2 Years|1 Year|College|High|Very High|Low|Low|Best|Jones|Male|76553|Other
Quality Assurance|Group B|Part Time|Single|29|Los Angeles|05/01/2016|Active|4|8|3 Years|1 Year|College|Very High|Low|Low|Very High|Bad|Goodman|Male|107311|Other
Media Relations|Group C|Part Time|Single|32|Los Angeles|11/12/2013|Active|10|11|3 Years|2 Years|Doctor|High|High|Excellent|Medium|Bad|Douglas|Male|111712|Other
Research and Development|Group B|Full Time|Divorced|44|Seattle|12/06/2016|Non Active|12|8|3 Years|2 Years|Bachelor|High|High|Good|Medium|Bad|Conway|Male|115015|Other
Customer Relations|Group A|Full Time|Single|61|Houston|03/25/2016|Non Active|4|13|2 Years|1 Year|College|Very High|Medium|Outstanding|Very High|Best|Wade|Female|107931|White Collar
Research and Development|Group C|Part Time|Married|26|Seattle|12/22/2013|Active|1|13|1 Year|1 Year|Doctor|Medium|Very High|Good|Very High|Better|Ramsey|Male|70471|Blue Collar
Customer Service|Group C|Full Time|Single|38|New York City|12/22/2014|Active|11|17|3 Years|2 Years|Doctor|Low|Medium|Low|Very High|Good|Gay|Male|99141|Blue Collar
Finances|Group B|Full Time|Single|32|New York City|04/29/2014|Active|9|20|2 Years|1 Year|College|Very High|Very High|Excellent|Very High|Best|Daniels|Female|108494|Blue Collar
Tech Support|Group B|Full Time|Married|39|Los Angeles|07/11/2015|Active|1|20|2 Years|2 Years|Bachelor|Medium|Low|Excellent|Low|Best|Macdonald|Female|87211|Blue Collar
Media Relations|Group B|Part Time|Married|65|Los Angeles|02/24/2014|Non Active|9|14|3 Years|3 Years|College|High|Low|Outstanding|High|Best|Knox|Female|91858|White Collar
Legal Department|Group D|Full Time|Married|34|Seattle|03/11/2015|Active|3|11|2 Years|1 Year|Bachelor|Medium|Low|Good|Very High|Best|Carter|Female|81471|Blue Collar
Finances|Group D|Full Time|Married|37|Los Angeles|03/29/2013|Non Active|5|8|1 Year|3 Years|Doctor|Medium|High|Low|Medium|Better|Adams|Male|99857|Blue Collar
Quality Assurance|Group A|Part Time|Married|31|Los Angeles|02/20/2017|Active|3|7|2 Years|2 Years|Doctor|Medium|Medium|Good|High|Bad|Weaver|Male|111599|Blue Collar
Public Relations|Group D|Part Time|Married|50|New York City|06/30/2013|Active|5|9|3 Years|1 Year|Masters|High|Low|Good|Low|Good|Hayden|Male|114954|White Collar
Research and Development|Group D|Part Time|Single|28|Seattle|01/20/2016|Active|6|11|1 Year|1 Year|Bachelor|High|Low|Low|Medium|Best|Melendez|Female|84507|Other
Media Relations|Group A|Part Time|Single|57|Seattle|03/06/2013|Non Active|4|16|3 Years|3 Years|College|Very High|Low|Low|Very High|Better|Hester|Male|82909|White Collar
Public Relations|Group A|Full Time|Divorced|42|New York City|02/14/2013|Non Active|6|6|3 Years|1 Year|Doctor|Very High|High|Outstanding|Low|Better|Bruce|Male|93618|White Collar
